RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
138,0,51890,Greyson Sigg,295.8,62115,210
138,0,27095,Nick Watney,295.8,44962,152
140,0,33399,Adam Hadwin,295.7,52048,176
140,0,52374,Brandon Wu,295.7,68021,230
142,0,52513,Carson Young,295.6,58520,198
143,0,47993,Denny McCarthy,295.5,59103,200
144,0,34466,Peter Malnati,295.2,56089,190
144,0,22405,Justin Rose,295.2,40153,136
146,0,25900,Lucas Glover,294.9,58988,200
147,0,23108,Matt Kuchar,294.4,53577,182
148,0,47983,Chad Ramey,294.3,59449,202
148,0,37275,Sam Ryder,294.3,65329,222
150,0,40162,Justin Lower,294.2,64129,218
151,0,46414,Aaron Rai,294.1,61765,210
151,0,46441,Robby Shelton,294.1,61165,208
153,0,34610,Matthias Schwab,294.0,60557,206
154,0,33413,Ben Martin,293.9,60553,206
155,0,25493,Nick Taylor,293.7,54637,186
156,0,27644,Brian Harman,293.6,54610,186
157,0,53165,Doc Redman,293.5,45793,156
158,0,32640,Troy Merritt,293.4,53990,184
159,0,24140,Sean O'Hair,293.3,30506,104
159,0,25818,Scott Piercy,293.3,58068,198
161,0,47079,Harrison Endycott,293.2,52195,178
162,0,36326,David Lipsky,292.7,60291,206
163,0,36801,Mark Hubbard,292.6,67893,232
164,0,27936,Martin Laird,292.4,51466,176
165,0,30163,Henrik Norlander,292.3,53206,182
166,0,32139,Danny Willett,292.1,39144,134
167,0,45522,Christiaan Bezuidenhout,291.4,51873,178
168,0,34098,Russell Henley,290.9,48868,168
168,0,35449,Adam Long,290.9,65735,226
170,0,51950,Max McGreevy,290.2,53396,184
171,0,24024,Zach Johnson,290.1,39451,136
172,0,31557,Jim Herman,290.0,44659,154
173,0,24925,Jonathan Byrd,289.3,34719,120
173,0,22056,Cameron Percy,289.3,38763,134
175,0,27963,Chris Stroud,289.2,32969,114
176,0,27974,Sung Kang,289.0,28325,98
177,0,29535,Brice Garnett,288.7,49655,172
178,0,33410,Andrew Landry,288.4,46140,160
178,0,26476,Chez Reavie,288.4,55382,192
180,0,35879,Kelly Kraft,287.3,51715,180
181,0,32816,Satoshi Kodaira,287.1,36175,126
182,0,26596,Ryan Moore,287.0,47640,166
183,0,33122,Russell Knox,285.3,65046,228
184,0,34256,Andrew Putnam,284.7,63212,222
185,0,22371,Aaron Baddeley,284.5,45512,160
186,0,35901,Paul Haley II,284.1,52269,184
187,0,19803,Ryan Armour,283.6,52189,184
188,0,46435,Austin Cook,282.3,47992,170
189,0,30927,Brendon Todd,282.0,58659,208
190,0,40058,Zac Blair,281.6,43935,156
191,0,31202,William McGirt,280.0,29681,106
192,0,34409,David Lingmerth,278.5,49018,176
193,0,31560,Brian Stuard,271.5,39641,146
